Areas,Nearest Hospital,Contact Number,Google Map Link
Arugam Bay,Base Hospital Pottuvil,632248061,https://maps.app.goo.gl/hXuoyq7nhRw3DLUp9
Nuwara Eliya,District General Hospital Nuwara Eliya,522222261,https://maps.app.goo.gl/berUZwW9GH7rTz9b8
Kandy,National Hospital  Kandy,812222261,https://maps.app.goo.gl/DVab7LtasBaJuCHF6
Kataragama,District Hospital Kataragama,472235261,https://maps.app.goo.gl/ZfJiGfLte53QKfa1A
Anuradhapura,Teaching Hospital - Anuradhapura,252222261,https://maps.app.goo.gl/jTvLxMj8rszM6QLe9
Polonnaruwa,Teaching Hospital Polonnaruwa,272222261,https://maps.app.goo.gl/LBXBut93gKkNUzNh6
Sigiriya,Divisional Hospital  - Sigiriya,662286261,https://maps.app.goo.gl/RZcTw5FKtRW4mjWA6
Trincomalee,District General Hospital Trincomalee,262222261,https://maps.app.goo.gl/VKEj8geyEUdq4Hgo6
Jaffna,Teaching Hospital Jaffna,212223348,https://maps.app.goo.gl/ZgtU2zapYzE3yGr28
Kalpitiya,Base Hospital Kalpitiya,322260261,https://maps.app.goo.gl/6oJdVBgussHeQP4Z8
Passikudah,Valaichchenai Base Hospital,652257721,https://maps.app.goo.gl/XYDWji2erHv5eAQS8
Bentota,Divisional Hospital - Bentota,342275260,https://maps.app.goo.gl/zhrjq6ArL5oihf9u5
Haputale,"Divisional Hospital Glenore, Glenanore-Haputale",573575171,https://maps.app.goo.gl/XGhpQKu6TBQMH9qP9
Matara,District General Hospital - Matara,412222261,https://maps.app.goo.gl/JNwoxCXok1Dg3nQm9
Puttalam,Base Hospital Puttalam,322265261,https://maps.app.goo.gl/zL1q414KgLrDnv3N7
Weligama,"Government Hospital, Walana",412250261,https://maps.app.goo.gl/XNimHwMZdLnGxnGC7
Badulla,Teaching Hospital - Badulla,552222261,https://maps.app.goo.gl/UBwcojquEhf5BAap7
Hambantota,District General Hospital Hambantota,472256403,https://maps.app.goo.gl/d2HfSTovvJ5qggxW7
Diyatalawa,Base Hospital Diyatalawa,572229060,https://maps.app.goo.gl/nvxVAsAQ2mVGXk6t7
Negombo,District General Hospital Negombo,312222261,https://maps.app.goo.gl/A5upnWjZLqgxNXXN6
Ella,Ella hospital,573553954,https://maps.app.goo.gl/bdW9PH8XUSHormnz8
Hikkaduwa,Divisional Hospital B Hikkaduwa (Arachikanda Hospital),912277261,https://maps.app.goo.gl/Dro1CPtzN6RtBgHj6
Galle,National Hospital - Galle (Teaching Hospital - Karapitiya),912232267,https://maps.app.goo.gl/gGZpz3S7CvbDjF3j7
Bandarawela,Bandarawela District Hospital,572222661,https://maps.app.goo.gl/zFef4FPj4NjpNLgc8
Ratnapura,Teaching Hospital - Ratnapura,452222261,https://maps.app.goo.gl/mGcwCAdv2abQE8Hf8
Knuckles,District General Hospital Matale,662222261,https://www.google.com/maps/place/District+General+Hospital+Matale
Kitulgala,Kithulgala District Hospital,352287561,https://maps.app.goo.gl/Y22TccwcHZKuptZa8
Tangalle,Base Hospital Tangalle,472240261,https://maps.app.goo.gl/nzNAtdrRebdFZwST8
Maskeliya,Divisional Hospital Maskeliya,522277261,https://maps.app.goo.gl/eSno8wngdJSKJHZUA
Mannar,District General Hospital Mannar,232222261,https://maps.app.goo.gl/GbhsHXMgjVkvbsrq5
Mirissa,Mirissa Rural Hospital,412250269,https://maps.app.goo.gl/o3ezo82nyUnKNRxp7
Pottuvil,Base Hospital Pottuvil,632248061,https://maps.app.goo.gl/hXuoyq7nhRw3DLUp9
Mullaitivu,District General Hospital - Mullaitivu,212061412,https://maps.app.goo.gl/GCmuDP6U9M46ftoR6
Dambulla,District Base Hospital - Dambulla ,662284761,https://maps.app.goo.gl/3vSBJqujSMcsVFx69
Avissawella,District General Hospital - Avissawella,362222261,https://maps.app.goo.gl/tyVtGce7ZNPkZXvB8
Kalutara,Teaching Hospital Kalutara Nagoda,342222261,https://maps.app.goo.gl/RuTnZgaBoUp2ror6A
Deniyaya,"Government Hospital, Deniyaya",412273261,https://maps.app.goo.gl/TuC2YQwFk5grQY486
Monaragala,District General Hospital Monaragala,552276261,https://maps.app.goo.gl/LGSFUuSQxVP8Q47x5
Tissamaharama,Base Hospital - Tissamaharama,472237261,https://maps.app.goo.gl/EsyK5nYrQyqFttt27
Sella Kataragama,District Hospital Kataragama,472235261,https://maps.app.goo.gl/QUyvuihrNwruCmZn7
Colombo,National Hospital of Sri Lanka,112691111,https://maps.app.goo.gl/G2dZxmQo4umcFyNs6
Gampaha,"District General Hospital, Gampaha",332222261,https://maps.app.goo.gl/3fawWR1zNNiiDr8q6
Dodanduwa,Divisional Hospital B Hikkaduwa (Arachikanda Hospital),912277261,https://maps.app.goo.gl/V663u7qbn53KcTVA7
Horton Plains,District General Hospital Nuwara Eliya,522222261,https://maps.app.goo.gl/C55BUcj3Q9VrMrk77
Sinharaja,Deniyaya Base Hospital (Type B),412273261,https://maps.app.goo.gl/z4XWYHTkcgULx3sE7
Chilaw,District General Hospital - Chilaw,322223261,https://maps.app.goo.gl/KkrmEd6E3edbmaR69
Matale,District General Hospital Matale,662222261,https://maps.app.goo.gl/KLJ5KFFnWCVmDQsm9
Kurunegala,Teaching Hospital Kurunegala,372222261,https://maps.app.goo.gl/9aqkoXvwPqxR7yhZ6
Ambalangoda,"Divisional Hospital, Ambalangoda",912258444,https://maps.app.goo.gl/ckd6NFVRFKH9GZ6F8
